S.No.,Peak,Female,Male,Total (Permit issued),Female,Male,Total (Summitted)
1,Aichyn (6055m),3,13,16,2,8,10
2,Amadablam(6814m.),43,300,343,39,263,302
3,Anidesh Chuli (6960m),,6,6,,,
4,Annapurna(8091m.),,9,9,,5,5
5,Api (7132m),2,8,10,,,
6,Araniko Chuli (6039m.),8,30,38,1,4,5
7,Ardang (6034m),1,5,6,1,5,6
8,Baden Powell Scout Peak (5825m),2,9,11,,,
9,Baruntse (7162m.),6,46,52,1,11,12
10,Bhemdang Ri (6150m.),,5,5,,,
11,Bhrikuti Shail (6361m.),9,11,20,,8,8
12,Chamlang(7319m.),2,18,20,,2,2
13,Changwatnang (6125m.),,15,15,,4,4
14,Chhopa bamare (6109m.),,1,1,,,
15,Dhampus (6012m.),7,19,26,6,7,13
16,Dhawalagiri (8167m.),10,79,89,,,
17,Dhechyan Khang(6019m.),,3,3,,3,3
18,Everest(8848m.),64,834,898,52,508,560
19,Ganchenpo (6387m),1,4,5,,,
20,Gangapurna West (7140m),,3,3,,,
21,Gaugiri (6110m.),11,22,33,,,
22,Ghustong South (6465m),2,16,18,2,8,10
23,Gurja Himal (7193m),,22,22,,8,8
24,Himjung (7092m),,4,4,,3,3
25,Himlung (7126m.),3,59,62,6,53,59
26,Jobo Rinjang (6778m),,4,4,,1,1
27,Jomson (6335m.),,6,6,,6,6
28,Kanchanjunga (8586m.),8,70,78,5,41,46
29,Kumbhakarna (7710m),,4,4,,,
30,Langdung(6326m.),1,15,16,,2,2
31,Lhoste (8516m.),24,177,201,9,78,87
32,Makalu (8463m.),7,27,34,3,7,10
33,Makalu-ii (7678m.),1,8,9,,,
34,Manaslu (8163m),44,358,402,37,238,275
35,Mukot Himal (6087m.),2,15,17,,5,5
36,Mustang (6195m.),50,72,122,,,
37,Nilgiri North (7061m),,3,3,,,
38,Norbu Kang (6005m),4,12,16,2,9,11
39,Nuptse (7855m.),6,44,50,,,
40,Omi Tso Go (6332m),1,6,7,,,
41,Pankar Himal (6264m.),1,6,7,1,5,6
42,Peri Himal (6174m.),,2,2,,2,2
43,Pumori (7161m),,16,16,,4,4
44,Purbung (6500m),,5,5,,,
45,Putha Hiunchuli (7246m),4,7,11,1,5,6
46,Saipal (7031m),,7,7,,,
